algorithm,checkpoint,collision_rate,mean_length,mean_reward,oob_rate,params,run,seed,std_reward,success_rate,timeout_rate,total_timesteps,success_rate_lo,success_rate_hi,success_rate_ci_str,collision_rate_lo,collision_rate_hi,collision_rate_ci_str,timeout_rate_lo,timeout_rate_hi,timeout_rate_ci_str,oob_rate_lo,oob_rate_hi,oob_rate_ci_str
ppo,runs/best_vit/ppo_seed0_t1p5m/checkpoints/checkpoint_1507328.pt,0.0,150.5,124.795,0.0,1002311,best_vit/ppo_seed0_t1p5m,0,0.285,1.0,0.0,1507328,0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ddpg,runs/baseline_ddpg/ddpg_seed0/checkpoints/checkpoint_700000.pt,1.0,19.7,-53.758,0.0,141572,baseline_ddpg/ddpg_seed0,0,2.78,0.0,0.0,700000,0.0000,0.0188,"[0.0, 1.9]",0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
sac,runs/baseline_sac/sac_seed0/checkpoints/checkpoint_300000.pt,1.0,12.2,-41.967,0.0,213256,baseline_sac/sac_seed0,0,1.56,0.0,0.0,300000,0.0000,0.0188,"[0.0, 1.9]",0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ppo,runs/multi_seed/ppo_seed1/checkpoints/checkpoint_802816.pt,0.0,279.2,124.36,0.0,1002311,multi_seed/ppo_seed1,1,0.261,1.0,0.0,802816,0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ppo,runs/abl_no_advnorm/ppo_seed0/checkpoints/checkpoint_507904.pt,0.0,224.9,124.238,0.0,1002311,abl_no_advnorm/ppo_seed0,42,0.139,1.0,0.0,507904,0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ppo,runs/abl_low_reward_scale/ppo_seed0/checkpoints/checkpoint_507904.pt,0.0,1026.0,28.893,0.0,1002311,abl_low_reward_scale/ppo_seed0,42,0.07,1.0,0.0,507904,0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ppo,runs/abl_no_curriculum/ppo_seed0/checkpoints/checkpoint_507904.pt,0.0,227.7,124.52,0.0,1002311,abl_no_curriculum/ppo_seed0,42,0.285,1.0,0.0,507904,0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ppo,runs/abl_state_only/ppo_seed0/checkpoints/checkpoint_606208.pt,0.11,319.8,107.984,0.0,70919,abl_state_only/ppo_seed0,42,47.092,0.89,0.0,606208,0.8391,0.9262,"[83.9, 92.6]",0.0738,0.1609,"[7.4, 16.1]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ppo,runs/abl_cnn_encoder/ppo_seed0/checkpoints/checkpoint_606208.pt,1.0,126.0,19.739,0.0,1028295,abl_cnn_encoder/ppo_seed0,42,0.3,0.0,0.0,606208,0.0000,0.0188,"[0.0, 1.9]",0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ppo,runs/abl_domain_random/ppo_seed0/checkpoints/checkpoint_704512.pt,0.0,205.6,124.548,0.0,1002311,abl_domain_random/ppo_seed0,0,0.276,1.0,0.0,704512,0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ppo,runs/abl_no_time_penalty/ppo_seed0/checkpoints/checkpoint_507904.pt,0.0,252.1,124.749,0.0,1002311,abl_no_time_penalty/ppo_seed0,42,0.185,1.0,0.0,507904,0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
ppo,runs/abl_no_goal_bonus/ppo_seed0/checkpoints/checkpoint_507904.pt,0.0,239.5,94.372,0.0,1002311,abl_no_goal_bonus/ppo_seed0,42,0.275,1.0,0.0,507904,0.9812,1.0000,"[98.1, 100.0]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]",0.0000,0.0188,"[0.0, 1.9]"
